First Name,Last Name,Department,Published Papers in Academic Journals,Papers and Abstracts in Conference Proceedings,Books,Courses Taught,Graduate Thesis Advisor (45)
Mohammad,Hasan Asemani,-,"Parameter-Dependent Positive Observers for LPV Positive Systems , Quasi-LPV positive observer-based control of closed-loop deep brain stimulation systems ,  Fuzzy Observer-Based Dynamic Sliding Mode Control: Unknown Input Rejection Approach , Practical Finite-Time Adaptive Sliding Mode Control for 5-link Biped Robot in the Presence of Uncertainty , Robust global synchronization of delayed incommensurate fractional-order gene regulatory networks , A controller management scheme for active fault-tolerant tracking: Linear discrete-time systems , Active observer-based T-S fuzzy control scheme for maximum power point tracking in PV systems , Robust observer design for LPV systems using Kronecker sum and direct searching , Consensus Control Of Incommensurate Fractional-order Multi-agent Systems: An LMI Approach , Load frequency fractional order controller design for shipboard microgrids using direct search algorithm , Increasing the resiliency of power systems in presence of GPS spoofing attacks: A data?driven deep?learning algorithm , Active Adaptive Observer-Based Fault-Tolerant Control Strategy for a Class of T-S Fuzzy Systems With Unmeasurable Premise Variables , Multi-Objective T-S Fuzzy Control of Covid-19 Spread Model: An LMI Approach , Stability analysis of time-delay incommensurate fractional-order systems , Designing an Optimal Reset Controller for TS Fuzzy Systems , Direct search-based optimal robust observer for polytopic systems using the concept of inverse system , Constrained Robust Control by a Novel Dynamic Sliding Mode Surface , Optimal gain scheduling control of proton exchange membrane fuel cell: An LMI approach , Advanced Stability Conditions for TS Fuzzy Systems via Minimum-Type Multiple Switching Lyapunov Function , On linear parameter varying control of time delayed positive systems , Robust dynamic output feedback control of blood glucose level in diabetic rat with robust descriptor Kalman filter , Adaptive Neural Network Linear Parameter-Varying Control of Shipboard Direct Current Microgrids , Dual-EKF-Based Fault Tolerant Predictive Control of Nonlinear DC Microgrids with Actuator and Sensor Faults , Optimal Structuring of Microgrid Distributed State Estimation , Fuzzy modeling and control of a class of non differentiable multi input multi output nonlinear systems , A Linear Parameter Varying Control Approach for DC/DC Converters in All-Electric Boats ability analysis of incommensurate fractional-order systems with time-varying interval uncertainties , Nonlinear Output Feedback for HL-20 Flight Control Using Back-Stepping Observer , Switching TS fuzzy model-based dynamic sliding mode observer design for non-differentiable nonlinear systems , On robust stability of incommensurate fractional-order systems , Observer-based consensus control of multi-agent linear parameter varying systems , Observer?based controller design for uncertain disturbed Takagi?Sugeno fuzzy systems: A fuzzy wavelet neural network approach , Observer based controller design for uncertain disturbed Takagi Sugeno fuzzy systems: A fuzzy wavelet neural network approach , Time-Delayed Stabilizing Secondary Load Frequency Control of Shipboard Microgrids , Robust Mixed $\mu$ -Synthesis Frequency Regulation in AC Mobile Power Grids , Uncertainty Decomposition of Quantum Networks in SLH Framework , Robust H ? sliding mode observer-based fault-tolerant control for One-sided Lipschitz nonlinear systems , Robust Stability Analysis of Uncertain Linear Fractional-Order Systems with Time-Varying Uncertainty For 0<a<2< font=, Improved Stabilization of Nonlinear DC Microgrids: Cubature Kalman Filter Approach , Fractional-order-dependent global stability analysis and observer-based synthesis for a class of nonlinear fractional-order systems , Non-Fragile Robust Strictly Dissipative Control of Disturbed T–S Fuzzy Systems with Input Saturation , TS fuzzy robust L 1 control for nonlinear systems with persistent bounded disturbances , NON-PDC Observer-Based T-S Fuzzy Tracking Controller Design and its Application in CHAOS Control , A New Design Method for TS Fuzzy Static Output Feedback Control of the Glucose/Insulin Model with Time-Delay , Nonfragile Fuzzy Output Feedback Synchronization of a New Chaotic System: Design and Implementation , Output feedback control of piezoelectrically actuated non-classical micro-beams using T-S fuzzy model ,  TS Fuzzy Model-Based Controller Design for a Class of Nonlinear Systems Including Nonsmooth Functions , Robust L1 Observer-based Non-PDC Controller Design for Persistent Bounded Disturbed TS Fuzzy Systems , Tracking control of chaotic spinning disks via nonlinear dynamic output feedback with input constraints , Transient Performance Improvement in Indirect Model Reference Adaptive Control Using Perturbation-based Extremum Seeking Identifier , A new fractional-order chaotic system and its synchronization via Lyapunov and improved Laplacian-based method , A robust L1 controller design for continuous-time TS systems with persistent bounded disturbance and actuator saturation , Conservatism Reduction in Simultaneous Output Feedback Stabilization of Linear Systems , A Novel Descriptor Redundancy Approach for Non-Quadratic Robust Hinf Control of T-S Fuzzy Nonlinear Singularly Perturbed Systems , Discussion: “Robust Stability and Stabilization of Fractional Order Systems Based on Uncertain Takagi–Sugeno Fuzzy Model With the Fractional Order 1 v 2” (Junmin, L., and Yuting, L., 2013), ASME J. Comput. Nonlinear D , A Robust Hinf Non-PDC Design Scheme for Singularly-perturbed T-S Fuzzy Systems with Immeasurable State Variables , A Robust Hinf Tracking Design for Uncertain T-S Fuzzy Systems with Unknown Premise Variables Using Descriptor Redundancy Approach , Hinfinity Control of T-S Fuzzy Singularly Perturbed Systems Using Multiple Lyapunov Functions , A robust Hinf observer-based controller design for uncertain ts fuzzy systemswith unknown premise variables via LMI , A Non-PDC Hinf Output Feedback Controller Design for T-S Fuzzy Systems with Unknown Premise Variables and Control Constraints via LMI, Hinf dynamic observer-based fuzzy integral sliding mode control with input magnitude and rate constraints , Fuzzy Reset-Based H Unknown Input Observer Design for Uncertain Nonlinear Systems With Unmeasurable Premise Variables , Robust Polytopic-LPV Body-Weight-Dependent Control of Blood Glucose in Type-1 Diabetes , Observer-Based Predictive Control of Nonlinear Clutchless Automated Manual Transmission for Pure Electric Vehicles: An LPV Approach , T-S Fuzzy tracking control of nonlinear constrained time-delay systems using a reference-management approach , Optimal Robust LPV Control Design for Novel Covid-19 Disease , Decentralized Robust Disturbance-Observer based LFC of Interconnected Systems , Fault-Tolerant Tracking Control of Discrete-Time T-S Fuzzy Systems with Input Constraint , Fuzzy-Observer-Based Predictive Stabilization of DC Microgrids With Power Buffers Through an Imperfect 5G Network , Optimal robust model predictive reset control design for performance improvement of uncertain linear system , Inexact induced L2 observer based control of polytopic LPV systems: application to clutchless automated manual transmission of pure electric vehicles , Robust st ","Mobile robot navigation usingtwin delayed deep deterministic policy gradient and fuzzy logic , A Control Barrier Function Based Approach for Safe and Efficient Navigation of Unicycle Mobile Robots , Control of Mobile Robots Using Control Barrier Functions in Presence of Fault , Attention and Autoencoder Hybrid Model for Unsupervised Online Anomaly Detection , Design of a Robust µ-synthesis controller for Uncertain and Disturbed Nonlinear Wind turbines , Robust Fuzzy Observer-Based Speed Control of Electric Vehicle with Unmeasurable Premise Variables , D-Stability Analysis for Tuning Fractional-Order PI Controller , Data-Driven Controller Design for a Synchronous Generator Connected to an Infinite Bus , Data-Driven Control for Self-Balancing Two-Wheeled Scooter , Advanced Control of DC Grid-Connected Proton Exchange Membrane Fuel Cell: A Linear Parameter Varying Approach , Robust Controller Design for Frequency Regulation of Power Systems , LPV Controller Design for Trajectory Tracking of Non-holonomic Wheeled Mobile Robots in the Presence of Slip , Pressure control of cellular electromechanical medical mattress for bedsore prevention , LPV Control of an Influenza Model with Vaccination and Antiviral Treatment , Intelligent GPS Spoofing Attack Detection in Power Grid , Construction of Lyapunov Functions using Multi- Objective Genetic Algorithm , Optimal Linear Parameter Varying Controller Design for Proton Exchange Membrane Fuel Cell Using LMI Techniques , Online Transformer Oil Analysis Based on Spectroscopy Technique and Machine Learning Classifier: Experimental Setup , Multi-task Deep Reinforcement Learning: A Combination of Rainbow and DisTraL , high-performance robust grid-connected power systems , Polytopic-LPV robust control of power systems connected to renewable energy sources , Robust tracking control of boiler-turbine systems , Continuous-Time Observer-Based Gain-Scheduled Output Feedback Controller Design with Simultaneous Optimization of Scaling Matrices , Dynamic Observer-based Controller Design for Polytopic LPV Systems , Induced L2-norm observer-based controller design for continuous-time polytopic LPV systems , Transient Performance Improvement Using Composite Nonlinear Feedback and Integral Sliding Surface for Matched and Unmatched Uncertain MIMO Linear Systems , Robust Tracker Design Using Composite Nonlinear Feedback for Uncertain Dynamical Systems , Robust H? observer-based control of uncertain T-S fuzzy systems with control constraints , Selection of Nonlinear Function in Integral Sliding Mode-Based Composite Nonlinear Feedback Method for Transient Improvement of Uncertain Linear Systems , A Multiple Lyapunov Function Approach for Robust H? Observer-based Tracking Control of Uncertain TS Fuzzy Systems , A New Dynamic Output Feedback Controller Design for T-S Fuzzy Systems via LMI , An Improved Off-Line Approach for Output Feedback Robust Model Predictive Control , A LMI-Based Design of Dynamic Output Feedback Controller for TS Fuzzy Systems , Reset Method Based Unknown Input Observer Design for Continuous-Time T-S Fuzzy System , Non-PDC Strictly Dissipative Controller Design for T-S Fuzzy Systems subject to Input Saturation , Unknown Premise Variables Observer-Based Controller Design for T-S Fuzzy Systems with Input Saturation , Design and Circuit Implementation of Synchronizing Nonlinear Controller for Unified Chaotic System: A T-S Fuzzy Model Approach , A Linear Controller for Synchronization of the Unified Chaotic System Using T-S Model: Design and Analog Circuit Implementation ",-,"Linear Systems and control lab, Modern control, Digital Control and lab, Lab.of Linear Control Systems, Lab. Of Measurment and Circuit I, Foundations of Modern Control and Digital Control, Control Software Laboratory, Digital Control Systems, Computer Applications in Control, Electrical Workshop, Electric Circuits II, Measurement & Circuits Lab, Linear Control Systems Lab, Fundamentals of Electrical Engineering I, Numerical Analysis & Mathematical Software Laboratory, Robust Control, special topics in control(advaced nonlinear control), Numerical Analysis, Linear Control System, Lab. of Linear Control System, Computer Application in Control","Observer-based control of positive linear parameter varying systems, Consensus control of heterogeneous fractional-order multi-agent systems, An optimal Hinf observer gain design for LPV systems using the direct search approach, Supervisory Active Fault-Tolerant Tracking Control of T-S Fuzzy Systems with Input Constraint, Robust Stability of Incommensurate Fractional-Order Systems, Calibration of Rotational Navigation Systems Based on Observation Analysis and Error Modulation, Wheeled Mobile Robots' Safety Assurance Using Control Barrier Functions, Safe Reinforcement Learning for Mobile Robots Using Data-driven Control Barrier Functions, Controller design for mobile robots with reinforcement learning and feedback control, Data-driven controller design for Two-Wheeled self-balancing robots, LPV-Based Fault-Tolerant Control for nonholonomic mobile robots, Anomaly Detection in Autonomous Vehicles Using Improved Deep Learning, Direct Data-Driven Controller Design for Power Grid, COVID-۱۹ Modeling and Designing a Robust controller to control the disease spread, Observer-based Aperiodic Sampled-data Controller Design for Linear Parameter Varying Systems, Observer-based Model Predictive Controller design for Linear Parameter Varying systems, LPV Modelling and controller design for nonholonomic mobile robots, Switched LPV Controller Design for Proton Exchange Membrane Fuel Cell, Controller design based on LPV model of boost converter connected to the solar panel, LPV controller design for microgrids including PV panels, wind turbine and battery, A new high order sliding mode controller design for blood glucose level control of Type I diabetes mellitus, Observer-based Consensus controller design for multi-agent linear parameter varying systems, Robust stabilization of nonlinear slowly varying system, Non-fragile controller design for polynomial systems using sum of squares method, control of nonlinear systems using fuzzy wavelet neural networks, Sliding mode Observer design for one-sided lipschitz nonlinear systems, Improved Initial Alignment using Linear and Nonlinear Filters, Dynamic Observer-based Controller design for continues-time LPV systems, Controller design for a class of nonlinear fractional-order systems, Observer-based Controller design for continuous-time LPV systems with inexact scheduling parameters, Novel methods for Designing T-S Fuzzy Control Systems Constrained to input saturation, Adaptive Artificial Neural Network (AANN)-based Controller Design for Dynamic Virtual Power Plants, Design a controller based on Reinforcement learning (RL) for Dynamic Virtual Power Plants (DVPP), Design of LPV controller for the hybrid AC/DC microgrids, TS fuzzy controller design with guaranteed safety, PID Controller Design for Positive LPV Systems: An LMI-Based Approach, Comparison of fault detection methods for gas turbines in different conditions of turbine operation, Boiler Combustion Control Methods, Investigation and Comparison of Advanced Controllers Performance on Fuel Cells Air-feed Control System (PEMFC), Investigation of Advanced and Intelligent control methods of Doubly Fed Induction Generator Connected to Wind Turbine, Investigation and comparison of lateral control methods for autonomous vehicles, Investigation and comparison of Intelligent Methods Used in Induction Motors Drive, piezoelectric applications in medical systems, Energy Consumption Optimization Methods in Fuzzy Logic Building, Investigation and Comparison of intelligent Methods for Optimization of Super heater Steam Temperature (SST) Control in boilers, Evaluation of volumetric flow meters with focus on orifice and magnetic systems to provide the solution for optimal selection, Evaluation and compare of advanced control methods used in generator excitation systems, Investigation of systems modeled by t_s fuzzy methods, Investigation of Measurements methods of Multiphase Flow based on Electrical Tomography, Comparison of intelligent methods for control of a satellite in orbit, Investigation and comparison of Intelligent control methods for industrial waste water PH control, Vacuum Measurement Methods, Study of Vortex Flowmeter and methods for removing noise effects, Evaluation of technologies Types used in the intelligent PIG for corrosion detecting in oil and gas transmission pipelines, Analysis and comparison of tool path generation methods for CNC machine, Application of Polynomial Fuzzy Model in Modeling and Control of Nonlinear Systems, Review on Causes of Fault Occurrence and Erosion in Control Valves and Methods for Dealing with Them, Application of Wireless Sensor Networks for Gas Pipeline Leakage Monitoring, A Review about the Leak Detection Methods in Transfer Pipelines"
Mehdi,Allahbakhshi,-,"Ultra?high frequency sensors positioning on the power transformer to mitigate the negative effects on the partial discharge localization accuracy , Application of a Rogowski Coil Sensor for Separating Internal and External Partial Discharge Pulses in Power Transformers , A Modular Unipolar/Bipolar High-Voltage Pulse Generator Suitable for High Resistive Load , UHF sensors positioning on the power transformer tank to enhance the partial discharge localization accuracy , Islanded micro-grid frequency control based on the optimal-intelligent lyapunov algorithm considering power dynamic and communication uncertainties , Optimal energy management of distributed generation in micro-grid to control the voltage and frequency based on PSO-adaptive virtual impedance method , Online condition monitoring algorithm for element failure detection and fault location in double wye shunt capacitor banks , A new approach for top?oil thermal modelling of power transformers using Unscented Kalman filter considering IEEE C57.91 standard , A Robust Stator Inter-Turn Fault Detection in Induction Motor Utilizing Kalman Filter-Based Algorithm , Transformer inter-turn winding fault detection based on no-load active power loss and reactive power , A New Application of Rogowski Coil Sensor for Partial Discharge Localization in Power Transformers , Extended Kalman Filter-Based Approach for Nodal Pricing in Active Distribution Networks , On the impact of geomagnetically induced currents in driving series capacitor compensated power systems to ferroresonance , Experimentally Validated Extended Kalman Filter Approach for Geomagnetically Induced Currents Measurement , An enhanced approach for probabilistic evaluation of transient stability , An enhanced sub-cycle statistical algorithm for inrush and fault currents classification in differential protection schemes , Probabilistic analysis of switching transients due to vacuum circuit breaker operation on wind turbine step-up transformers , Probabilistic Framework for Transient Stability Contingency Ranking of Power Grids with Active Distribution Networks: Application in Post Disturbance Security Assessment , A Multi-Criteria Protection Scheme for Online Element Failure Detection in Shunt Capacitor Banks , Inverse Reliability Evaluation in Power Distribution Systems , Auxiliary Prony-based algorithm for performance Improvement of DFT phasor estimator against transient of CCVT , Cost-optimal as a tool for helping in designing distribution transformer using particle swarm optimization ,  A hybrid approach for Immunization of DFT-based phasor estimation method against decaying DC components , Probabilistic Framework for Vulnerability Analysis of Coupling Capacitor Voltage Transformer to Ferroresonance Phenomenon , An Enhanced Sensitivity-Based Decentralized Framework for Real-Time Transient Stability Assessment in Bulk Power Grids with Renewable Energy Resources , A Modular Topology of Marx Generator Using Buck-Boost Converter , Minimizing the undesirable effect of coupling capacitor voltage transformer on DFT-based phasor estimation method , Study of the Impact of Switching Transient Over-voltages on Ferro-Resonance of CCVT in Series & Shunt Compensated Power Systems ,  Framework for current transformer saturation detection and waveform reconstruction ,  A Sensitivity Based Approach for Real-Time Evaluation of Transient Stability of Wind Turbines Interconnected to Power Grids , A Novel method to estimate Economic Replacing Time of Transformer Using Monte Carlo Algorithm and ANN , Calculating probability density function of critical clearing time: Novel Formulation, implementation and application in probabilistic transient stability assessment , An Efficient Structure of Marx Generator Using Buck–Boost Converter , Transient Stability of Power Grids Comprising Wind Turbines: New Formulation, Implementation, and Application in Real-Time Assessment , Heat analysis of the power transformer bushings in the transient and steady states considering the load variations ,  Analytical discrete Fourier transformer-based phasor estimation method for reducing transient impact of capacitor voltage transformer ,  Online condition monitoring and fault detection of large supercapacitor banks in electric vehicle applications ,  Half-cycle method for exponentially DC components elimination applicable in phasor estimation , Heat Analysis of the Power Transformer Bushings using the Finite Element Method , An improved computational approach for thermal modeling of power transformers , Novel fusion approaches for the dissolved gas analysis of insulating oil , Application of interactive multiple models in thermal modeling of power transformers , A method for discriminating original pulses in online partial discharge measurement , Investigating practical experiments of partial discharge localization in transformers using winding modeling ","Analytical Method for Ferroresonance Solutions in Series Compensated Power Systems due to GICs: A Graphical Approach , Distinguishing between Fault and Inrush Current in Presence of the CT Saturation: a New Method Based on Gravity Center in Time , Enhancing Immunity of Full-Cycle Discrete Fourier Transform Against Decaying DC Components: a Comparative Analysis , An experimental review on application of wavelet transform on partial discharge evaluation of power transformers , An Efficient Noise Rejection Method for Online PD Measuring in Generators , New attempts in automated partial discharge identification using pulse sequence analysis ,  a new approach for separating internal and external PD pulses in the ultra-wide-band measuring system , Partial Discharge Identification Using Pulse Sequence Analysis and Neural Networks , The characteristics of hardware and software modules for PD localization in power transformers using winding modeling , An algorithm for partial discharge localization in transformers using winding design data , Multiple Model Data Fusion for DGA Techniques , Discrimination between Insulation Degradation and Faulty Conditions in Condenser Bushing Using On-line Power Factor Monitoring , Effect of asymmetrical dimensions in Short circuit forces of power transformers , A Method for Measurement, and Monitoring of Earth Return Current Flow in Medium Voltage , Improvement of Pulse Power Generators based on buck boost converter , Calculating the leakage inductance for Transformer inter-turn fault detection using finite element method , A New Statistical-Based Algorithm for CT Saturation Detection Utilizing Residual-Based Similarity Index , Utilizing Rogowski Coil for Saturation Detection and Compensation in Iron Core Current Transformer , Optimization of surge arresters location in transmission line due to lightning surges ",-,"Storage Energy, Power System Transients Analysis, Energy Distribution Systems, Electric Machinery, Electric Machinery lab, Electrical Machinery II, Electrical Machinery III, High voltage engineering, Transmission line design & Project, Electrical Installations & Project, Power sab station design & Project, Power System Analysis I, Electrical Workshop, Electrical Installations, High-Voltage-Lab, High Voltage Engineering, Electrical Machinery I, Electrical Machinery Lab I, Fundamentals of Electrical Engineering I Lab, Design of Electrical Machines, Advanced High Voltage and Electrical Insulation","Partial Discharge Localization in Power Transformers with UHF Method, A new approach in partial discharge localization in power transformer utilizing inductive sensors, Detection and Classification of Short-Circuit Faults in AC Microgrids, Insulation Fault Detection and Identification for Online Monitoring in High Voltage Shunt Capacitor Banks, An Effective Approach for Transient Stability Assessment in Power Systems, Fault diagnosis in permanent magnet synchronous motors, Identification of Partial Discharge Defects Using Machine Learning Methods, measurement and evaluation of partial discharge in inductive motors, Detection of Winding Fault in Power Transformers, Transformer sympathetic inrush identification, Analysis and detection of winding interturn faults of distribution transformers, A new method for Acoustic Partial Discharge Location in Power Transformers., Fault detection and location in two terminal HVDC system, A New Thermal Modeling of Power Transformers, Stator Inter-Turn fault detection of induction motor, DG Placement in Fars regional company with regard to power loss minimization and improve power quality, Assessment and Location of Partial Discharge on High Voltage Cables, A Study of the Geomagnetically Induced Currents Impact on Power Systems, Investigation of the Factors Affecting the Ferroresonance Phenomena in Inductive Voltage Transformers, Investigating the transient behavior of coupling capacitor voltage transformer and their effective parameters, Isolation of Pseudomonas aeruginosa bacteriosins by using Van de Graaff generator and its antimicrobial effects, Propose of an Appropriate Structure for Pulse Power Generator Suitable for Food Industry Applications, Proposing a framework for detection and reconstruction of saturated waveform of the current transformer, Thermal analysis of the power transformer bushings using finite element method, Analysis and Improvement Transient Overvoltage Due to Switching in Wind Turbines, Abnormal Condition Detection in Photovoltaic Panels Using Parameter Estimation, Acoustic PD Location in Power Transformers, A New Method For Inter-Turn Fault Detection In Power Transformer, optimization and online generation syncronized with special load management of a hybrid photovoltaic system, Increasing Microgrid Reliability by Load shedding Considering Wind Turbines and pv-panels, A new approach for PD location in power transformers, Design of a new pulsed power generator, planing and joint energy management system in smart homes, Stability Improvement Of A DFIG, Using Nonlinear Model, Optimization of surge arresters location, Identification and diagnosis of partial discharge in generators with the help of intelligent methods, Evaluation of lightning arrester performance in protecting wind turbines from lightning damage, Optimal sizing design and energy management of stand-alone photovoltaic/wind systems, The application of deep learning in the classification of partial discharge types in power transformers, Impacts of Electric Vehicles on Electric Distribution Networks, A survey and comparing of various artificial method to Diagnose power transformer incipient fault based on Dissolved Gas Analysis"
